Gene1	Gene2	EdgeWeight
g2	g3	323
g17	g16	322
g1	g3	321
g2	g4	320
g18	g16	319
g18	g17	318
g17	g15	317
g16	g15	316
g3	g4	315
g16	g14	314
g15	g13	313
g3	g5	312
g14	g12	311
g15	g14	310
g12	g10	309
g13	g11	308
g1	g4	307
g18	g15	306
g11	g9	305
g4	g6	304
g5	g7	303
g6	g8	302
g3	g2	301
g6	g4	300
g7	g9	299
g3	g1	298
g2	g5	297
g9	g11	296
g9	g7	295
g10	g8	294
g4	g5	293
g8	g6	292
g5	g3	291
g8	g10	290
g11	g13	289
g12	g14	288
g7	g5	287
g10	g12	286
g16	g13	285
g5	g4	284
g13	g15	283
g14	g11	282
g1	g1	281
g2	g1	280
g4	g2	279
g18	g18	278
g14	g16	277
g4	g1	276
g4	g3	275
g14	g13	274
g3	g6	273
g13	g10	272
g5	g6	271
g12	g9	270
g15	g12	269
g10	g7	268
g5	g2	267
g5	g8	266
g6	g9	265
g4	g7	264
g11	g8	263
g16	g17	262
g9	g6	261
g6	g5	260
g2	g6	259
g15	g11	258
g7	g10	257
g12	g11	256
g17	g14	255
g7	g4	254
g17	g17	253
g8	g11	252
g7	g6	251
g11	g10	250
g8	g5	249
g6	g3	248
g10	g13	247
g15	g16	246
g8	g7	245
g6	g7	244
g9	g8	243
g18	g14	242
g13	g12	241
g10	g9	240
g2	g2	239
g14	g15	238
g9	g12	237
g17	g12	236
g11	g7	235
g7	g1	234
g12	g13	233
g9	g5	232
g6	g1	231
g16	g12	230
g3	g7	229
g11	g14	228
g5	g1	227
g1	g6	226
g8	g9	225
g17	g13	224
g13	g14	223
g1	g5	222
g8	g4	221
g7	g8	220
g6	g2	219
g7	g3	218
g14	g10	217
g4	g8	216
g10	g6	215
g11	g12	214
g12	g8	213
g8	g1	212
g16	g1	211
g13	g1	210
g13	g9	209
g15	g17	208
g11	g6	207
g9	g10	206
g13	g8	205
g15	g10	204
g10	g11	203
g8	g3	202
g7	g11	201
g9	g1	200
g9	g4	199
g10	g5	198
g1	g8	197
g10	g1	196
g12	g7	195
g18	g12	194
g14	g8	193
g14	g9	192
g17	g18	191
g16	g11	190
g1	g14	189
g9	g3	188
g8	g2	187
g5	g9	186
g6	g10	185
g16	g10	184
g14	g7	183
g7	g2	182
g12	g6	181
g1	g7	180
g15	g1	179
g11	g5	178
g4	g9	177
g10	g4	176
g12	g1	175
g12	g2	174
g10	g3	173
g13	g16	172
g3	g8	171
g8	g12	170
g12	g15	169
g17	g1	168
g13	g5	167
g10	g2	166
g13	g6	165
g1	g10	164
g9	g2	163
g1	g16	162
g15	g8	161
g11	g2	160
g17	g10	159
g12	g4	158
g13	g7	157
g17	g11	156
g9	g13	155
g15	g9	154
g11	g4	153
g15	g7	152
g10	g14	151
g13	g3	150
g1	g15	149
g18	g13	148
g11	g1	147
g2	g7	146
g14	g3	145
g12	g5	144
g11	g3	143
g12	g3	142
g7	g12	141
g5	g10	140
g13	g2	139
g6	g11	138
g16	g9	137
g1	g11	136
g14	g6	135
g14	g1	134
g16	g8	133
g16	g6	132
g1	g9	131
g18	g7	130
g1	g13	129
g8	g13	128
g17	g9	127
g1	g12	126
g16	g4	125
g18	g11	124
g4	g10	123
g13	g4	122
g14	g4	121
g15	g6	120
g18	g1	119
g16	g7	118
g18	g3	117
g18	g2	116
g18	g10	115
g7	g13	114
g14	g5	113
g15	g5	112
g18	g9	111
g15	g2	110
g16	g18	109
g17	g8	108
g16	g16	107
g17	g6	106
g6	g12	105
g3	g9	104
g17	g2	103
g11	g15	102
g2	g8	101
g16	g5	100
g14	g17	99
g15	g4	98
g17	g5	97
g18	g6	96
g18	g5	95
g17	g7	94
g18	g4	93
g17	g4	92
g15	g3	91
g14	g2	90
g17	g3	89
g1	g17	88
g18	g8	87
g1	g18	86
g16	g2	85
g9	g14	84
g4	g11	83
g5	g11	82
g16	g3	81
g8	g14	80
g2	g9	79
g2	g17	78
g2	g18	77
g1	g2	76
g13	g17	75
g2	g15	74
g10	g15	73
g2	g12	72
g3	g10	71
g6	g13	70
g7	g14	69
g4	g12	68
g4	g13	67
g2	g10	66
g2	g11	65
g2	g16	64
g12	g12	63
g15	g15	62
g5	g5	61
g10	g10	60
g4	g4	59
g11	g11	58
g3	g11	57
g5	g12	56
g3	g12	55
g9	g9	54
g2	g14	53
g5	g14	52
g4	g14	51
g14	g14	50
g3	g14	49
g6	g14	48
g8	g8	47
g5	g15	46
g4	g15	45
g9	g15	44
g8	g15	43
g7	g15	42
g3	g15	41
g6	g15	40
g7	g7	39
g5	g16	38
g10	g16	37
g4	g16	36
g11	g16	35
g12	g16	34
g9	g16	33
g8	g16	32
g7	g16	31
g3	g16	30
g6	g16	29
g5	g18	28
g10	g18	27
g4	g18	26
g11	g18	25
g12	g18	24
g9	g18	23
g14	g18	22
g8	g18	21
g15	g18	20
g7	g18	19
g3	g18	18
g6	g18	17
g13	g18	16
g3	g3	15
g6	g6	14
g2	g13	13
g5	g13	12
g3	g13	11
g13	g13	10
g5	g17	9
g10	g17	8
g4	g17	7
g11	g17	6
g12	g17	5
g9	g17	4
g8	g17	3
g7	g17	2
g3	g17	1
g6	g17	0
