Gene1	Gene2	EdgeWeight
g2	g1	1.9662325521098798
g1	g2	1.9662325521098798
g4	g3	1.953167465213068
g3	g4	1.953167465213068
g16	g17	1.9507781959083688
g17	g16	1.9507781959083688
g5	g4	1.9445011972027912
g4	g5	1.9445011972027912
g15	g16	1.910768282789923
g16	g15	1.910768282789923
g14	g13	1.8891183965832896
g13	g14	1.8891183965832896
g5	g6	1.8819503684972845
g6	g5	1.8819503684972845
g11	g12	1.8817732310464568
g12	g11	1.8817732310464568
g8	g7	1.874910395883252
g7	g8	1.874910395883252
g10	g11	1.8678164531320536
g11	g10	1.8678164531320536
g12	g13	1.8656397304651136
g13	g12	1.8656397304651136
g14	g15	1.865443004101584
g15	g14	1.865443004101584
g10	g9	1.8651988112881377
g9	g10	1.8651988112881377
g9	g8	1.8602823527561565
g8	g9	1.8602823527561565
g18	g17	1.8584548958068383
g17	g18	1.8584548958068383
g7	g6	1.8405038508636584
g6	g7	1.8405038508636584
g5	g3	1.817910460759459
g3	g5	1.817910460759459
g9	g7	1.7892602691205015
g7	g9	1.7892602691205015
g2	g3	1.7657609368704712
g3	g2	1.7657609368704712
g15	g17	1.7482428874454614
g17	g15	1.7482428874454614
g11	g9	1.743776161354171
g9	g11	1.743776161354171
g4	g6	1.7340095160362687
g6	g4	1.7340095160362687
g11	g13	1.7279042436692231
g13	g11	1.7279042436692231
g15	g13	1.7179549979514468
g13	g15	1.7179549979514468
g12	g14	1.7140051582339633
g14	g12	1.7140051582339633
g5	g7	1.7128304004944488
g7	g5	1.7128304004944488
g8	g6	1.7120566325534292
g6	g8	1.7120566325534292
g10	g12	1.7065556478234234
g12	g10	1.7065556478234234
g10	g8	1.7058059132577246
g8	g10	1.7058059132577246
g16	g18	1.6761050834359972
g18	g16	1.6761050834359972
g14	g16	1.650181421591624
g16	g14	1.650181421591624
g14	g17	1.596598443377238
g17	g14	1.596598443377238
g5	g8	1.5899677533835992
g8	g5	1.5899677533835992
g4	g7	1.5535434489062494
g7	g4	1.5535434489062494
g10	g7	1.5478112262945465
g7	g10	1.5478112262945465
g12	g9	1.5461683182424213
g9	g12	1.5461683182424213
g3	g6	1.5413357864480233
g6	g3	1.5413357864480233
g11	g8	1.5377225371214152
g8	g11	1.5377225371214152
g4	g18	1.5338523660144852
g18	g4	1.5338523660144852
g10	g13	1.5274210913671382
g13	g10	1.5274210913671382
g11	g14	1.509122700827378
g14	g11	1.509122700827378
g12	g15	1.5070003872180089
g15	g12	1.5070003872180089
g9	g6	1.4908038287587675
g6	g9	1.4908038287587675
g1	g18	1.4653128461406113
g18	g1	1.4653128461406113
g16	g13	1.447016766936637
g13	g16	1.447016766936637
g1	g6	1.3911141724050242
g6	g1	1.3911141724050242
g10	g14	1.3798325571359
g14	g10	1.3798325571359
g10	g6	1.3483205934736509
g6	g10	1.3483205934736509
g15	g18	1.2962417611922927
g18	g15	1.2962417611922927
g12	g8	1.2878022769492108
g8	g12	1.2878022769492108
g11	g7	1.2790382475869464
g7	g11	1.2790382475869464
g11	g15	1.2745583116613666
g15	g11	1.2745583116613666
g9	g13	1.2709347060016871
g13	g9	1.2709347060016871
g4	g8	1.2641195968759118
g8	g4	1.2641195968759118
g5	g9	1.2333296815580923
g9	g5	1.2333296815580923
g13	g17	1.2018616033833496
g17	g13	1.2018616033833496
g7	g3	1.1985375093733077
g3	g7	1.1985375093733077
g8	g13	1.1894986825754372
g13	g8	1.1894986825754372
g5	g10	1.187533095657596
g10	g5	1.187533095657596
g12	g16	1.1834759600028837
g16	g12	1.1834759600028837
g10	g15	1.1692266938100335
g15	g10	1.1692266938100335
g12	g7	1.1642432134967178
g7	g12	1.1642432134967178
g12	g17	1.157963740387334
