Gene1	Gene2	EdgeWeight
g2	g2	1.0
g5	g4	1.0
g8	g8	1.0
g16	g18	1.0
g18	g18	1.0
g2	g3	1.0
g4	g4	1.0
g4	g3	1.0
g3	g3	1.0
g10	g11	1.0
g5	g6	1.0
g1	g1	1.0
g7	g6	1.0
g2	g1	1.0
g6	g6	1.0
g9	g10	1.0
g3	g4	1.0
g11	g11	1.0
g12	g13	1.0
g9	g9	1.0
g7	g8	1.0
g16	g14	1.0
g14	g14	1.0
g14	g15	1.0
g16	g15	1.0
g8	g9	1.0
g10	g9	1.0
g16	g16	1.0
g13	g12	1.0
g7	g7	1.0
g6	g7	1.0
g12	g12	1.0
g11	g12	1.0
g15	g16	1.0
g10	g10	1.0
g9	g8	1.0
g5	g5	1.0
g4	g5	1.0
g14	g13	1.0
g3	g2	1.0
g6	g5	1.0
g1	g2	1.0
g16	g17	1.0
g11	g10	0.999999
g12	g14	0.9999979999999999
g11	g13	0.9999959999999999
g8	g7	0.999901
g18	g17	0.999825
g12	g11	0.999618
g13	g15	0.9995459999999999
g14	g12	0.997872
g17	g16	0.983808
g13	g13	0.981634
g17	g2	0.9767049999999999
g14	g16	0.8122020000000001
g15	g17	0.802829
g13	g17	0.7821640000000001
g5	g3	0.708512
g17	g1	0.641408
g17	g18	0.6219319999999999
g16	g13	0.5819489999999999
g16	g1	0.549619
g13	g8	0.48071099999999994
g4	g6	0.469078
g1	g10	0.45778100000000005
g14	g11	0.441388
g18	g6	0.440959
g7	g14	0.433638
g5	g15	0.426888
g13	g5	0.414362
g13	g14	0.412488
g8	g6	0.407694
g7	g13	0.397042
g11	g14	0.37593000000000004
g18	g10	0.37103800000000003
g6	g8	0.36594699999999997
g7	g9	0.360032
g1	g11	0.356914
g2	g17	0.35070500000000004
g6	g14	0.349007
g2	g15	0.337679
g2	g18	0.317756
g2	g14	0.31138000000000005
g9	g18	0.307881
g6	g11	0.30036599999999997
g2	g13	0.299684
g9	g16	0.282806
g12	g4	0.272043
g15	g8	0.26651199999999997
g11	g9	0.265058
g8	g18	0.26376700000000003
g1	g3	0.261588
g8	g16	0.261202
g11	g16	0.25985199999999997
g9	g2	0.257326
g15	g3	0.25521
g1	g13	0.250429
g14	g9	0.24794899999999997
g14	g17	0.247508
g15	g9	0.24613200000000002
g8	g14	0.24384299999999998
g16	g2	0.24279
g14	g3	0.24209699999999998
g14	g5	0.239416
g18	g7	0.23718000000000003
g10	g17	0.235208
g1	g17	0.225543
g4	g9	0.223875
g10	g8	0.22266
g1	g14	0.22183899999999998
g12	g8	0.21919499999999997
g3	g1	0.216477
g18	g8	0.21094899999999997
g14	g10	0.21060700000000002
g11	g8	0.210486
g18	g12	0.205777
g10	g6	0.202882
g12	g10	0.201427
g6	g17	0.19717
g1	g7	0.18751099999999998
g14	g2	0.18472
g15	g12	0.183842
g11	g6	0.179971
g3	g5	0.179178
g9	g17	0.178277
g18	g1	0.174691
g3	g12	0.173824
g7	g1	0.169519
g6	g16	0.168899
g1	g15	0.165951
g3	g15	0.165506
g4	g15	0.16458599999999998
g5	g12	0.16388599999999998
g10	g12	0.162828
g18	g5	0.16050799999999998
g14	g6	0.160406
g12	g16	0.16029100000000002
g5	g16	0.15855999999999998
g17	g6	0.157269
g5	g14	0.154316
g18	g13	0.154032
g3	g18	0.15397
g6	g9	0.152948
g7	g10	0.152755
g15	g18	0.152449
g10	g16	0.150653
g13	g10	0.149839
g13	g7	0.147541
g8	g13	0.146232
g1	g5	0.146026
g17	g15	0.142619
g13	g11	0.139577
g4	g2	0.13946
g11	g15	0.137847
g14	g7	0.137176
g13	g18	0.13604000000000002
g4	g8	0.133839
g18	g11	0.13023800000000002
g5	g10	0.130218
g14	g18	0.12897899999999998
g18	g2	0.12878499999999998
g16	g10	0.127256
g12	g9	0.125147
g10	g1	0.12356800000000001
g5	g11	0.123494
g18	g9	0.123428
g16	g7	0.122136
g17	g10	0.120702
g8	g17	0.12021
g7	g3	0.119528
g17	g17	0.118192
g3	g6	0.117747
g9	g6	0.11613
g11	g5	0.115971
g10	g14	0.114906
g15	g11	0.113718
g17	g11	0.113693
g12	g6	0.11361900000000001
g17	g9	0.113267
g18	g14	0.11226199999999999
g1	g18	0.110831
g18	g15	0.109892
g12	g15	0.10955699999999999
g4	g1	0.109384
g17	g13	0.10865699999999999
g3	g9	0.107195
g6	g12	0.10700499999999999
g16	g5	0.10507000000000001
g17	g14	0.103834
g5	g13	0.103224
g2	g5	0.102993
g15	g2	0.101702
g15	g7	0.10104500000000001
g5	g7	0.100638
g18	g3	0.099906
g15	g13	0.09979
g1	g6	0.099268
g11	g18	0.097218
g6	g1	0.097127
g4	g12	0.09690700000000001
g6	g15	0.09509
g3	g11	0.09382599999999999
g4	g17	0.09283
g4	g16	0.092508
g18	g4	0.092477
g7	g5	0.091661
g14	g8	0.091559
g4	g14	0.090728
g8	g1	0.09049700000000001
g12	g3	0.090271
g6	g13	0.089744
