Gene1	Gene2	EdgeWeight
g8	g9	0.0863336142216098
g11	g14	0.0777887262117569
g8	g7	0.0705412668629895
g10	g9	0.0695423970821643
g3	g2	0.0656392166008245
g18	g15	0.0637285533181569
g6	g5	0.0632007746150467
g13	g11	0.0631367334208825
g11	g7	0.0593388175861906
g4	g8	0.0592613406048705
g5	g3	0.0589658439573357
g5	g14	0.0587443019810472
g9	g15	0.0586293321115426
g6	g7	0.0585307137081367
g14	g13	0.0579378388788394
g4	g3	0.0578717264694321
g5	g6	0.0567473414110359
g5	g4	0.0565630314416825
g12	g4	0.0564361179547608
g3	g5	0.056136924207744
g13	g7	0.0549125518474784
g6	g9	0.0542698730949904
g9	g10	0.0541446364946984
g14	g16	0.0541344745061272
g10	g12	0.0538624923717525
g10	g7	0.0527529665641694
g3	g4	0.0526950886401735
g16	g18	0.0524509076717528
g11	g15	0.0523005844327022
g9	g16	0.0509354144704048
g8	g11	0.0509262555482511
g7	g8	0.0508662401760791
g3	g7	0.0498535637869429
g7	g9	0.0496889948913225
g9	g3	0.0496094358713179
g8	g14	0.0492651465511298
g12	g14	0.0490079908582809
g9	g5	0.0485268468987727
g11	g13	0.0479549818881079
g12	g16	0.0473822903999286
g12	g13	0.0471521161946962
g8	g10	0.0469652374317892
g8	g6	0.0469412190537966
g6	g8	0.0466462951330011
g5	g8	0.0455809337130054
g11	g12	0.0452724654745423
g6	g11	0.0451956579398985
g15	g16	0.0450130857386259
g10	g16	0.0448941170639843
g9	g11	0.0445696579596275
g4	g6	0.0444570676364293
g4	g7	0.0441056476835231
g13	g12	0.0440499885383214
g2	g8	0.0438305541578474
g2	g14	0.0438062642943369
g6	g10	0.0434195491693902
g11	g8	0.0433804536501302
g5	g12	0.0431709140592906
g14	g12	0.0431506764346329
g5	g16	0.0430107232181941
g6	g18	0.0429717030670244
g10	g6	0.042756452610079
g18	g10	0.042620458571651997
g4	g16	0.0422478369148498
g1	g3	0.0419879739341415
g13	g4	0.0419558763294929
g16	g17	0.041830369643083
g13	g9	0.0416307829088959
g6	g1	0.0415983007128654
g6	g16	0.0414774665007202
g12	g11	0.0412977232813296
g4	g11	0.0411557084983728
g6	g15	0.0411369153966814
g11	g9	0.0410104848717812
g12	g7	0.0409834966321112
g4	g2	0.040804970041585995
g1	g13	0.0407264612776567
g13	g14	0.0404893512975022
g2	g3	0.0404295422000317
g8	g18	0.0398823991687668
g8	g12	0.0396263075153087
g6	g13	0.0392035383307574
g4	g5	0.0391268223508812
g7	g13	0.0389621907256258
g9	g8	0.0386913902085279
g12	g15	0.0386690433831939
g10	g5	0.0386611781891667
g13	g8	0.0379013710651286
g15	g14	0.0376311568788788
g15	g12	0.0375873190703489
g7	g16	0.0371484103823149
g1	g4	0.0370066636179379
g2	g1	0.0368047803641254
g17	g15	0.0366562013183916
g1	g15	0.0366009802862981
g7	g14	0.0365102192542445
g2	g4	0.0364883654310363
g9	g14	0.0360444302117895
g1	g9	0.035861302390265
g11	g18	0.0354393807615399
g7	g5	0.0353417037052333
g8	g13	0.0350281566495389
g4	g13	0.0349412803340651
g15	g13	0.0348776640334803
g3	g15	0.0348268550282378
g2	g9	0.0347458878164921
g11	g6	0.0346527040610883
g13	g16	0.0340973189860439
g7	g6	0.0340516842070817
g10	g17	0.0340243895844598
g4	g9	0.0340105841759197
g11	g16	0.0339056808901982
g7	g3	0.0338436595278383
g1	g14	0.0338421495788159
g14	g9	0.0336852985808021
g1	g18	0.0334923223072686
g7	g12	0.0334625447353801
g10	g15	0.0333194594376414
g7	g2	0.033170678495918995
g3	g14	0.0330087420471021
g14	g7	0.0325526581799443
g4	g17	0.0322288963393352
g12	g18	0.0320275796816046
g3	g10	0.0319152464580965
g8	g16	0.0318246295086952
g3	g8	0.0318032358422516
g3	g17	0.031604538669399
g13	g15	0.0312820284339786
g14	g8	0.0304422620321031
g3	g1	0.0304266750542765
g9	g1	0.0301724775089567
g8	g3	0.0301247079491174
g9	g13	0.0299029977150048
g1	g12	0.0295647547400225
g10	g14	0.0294719759772265
g5	g15	0.0294464299988546
g3	g9	0.0292861940124753
g8	g5	0.0289576734069871
g16	g15	0.0285908814366857
g9	g17	0.0285440193202647
g11	g17	0.0283990615004082
g5	g13	0.0282991505732305
g7	g11	0.0281521896872102
g7	g17	0.0280178853046954
g1	g2	0.0279230307592789
g14	g4	0.027921122130858
g10	g11	0.0277158836252936
g5	g10	0.0276826348002614
g2	g6	0.027202543339384
g11	g2	0.0270850816452235
g12	g9	0.0269256562022818
g4	g18	0.0267069497676004
g15	g2	0.026698176510168998
g13	g2	0.0265802719736738
g3	g16	0.026495443795457003
g5	g11	0.0264306843762784
g9	g6	0.0262432086404505
g14	g10	0.0262221523925435
g4	g14	0.0260172685151265
g10	g3	0.0256370495222782
g2	g13	0.0255452546484425
g1	g7	0.025527867702174
g1	g16	0.0249072873570504
g3	g6	0.0244923634420837
g6	g4	0.0244581508386494
g5	g1	0.0244364308599466
g8	g15	0.0243745492688638
g5	g18	0.0243441882193552
g3	g12	0.0242496885860881
g15	g18	0.0241966396000759
g1	g8	0.0240934538885175
g18	g14	0.0239254080779905
g16	g12	0.0238520576314549
g4	g12	0.0237485622462494
g7	g10	0.0237113491345796
g6	g3	0.0234527094135461
g18	g16	0.0234487427007909
g5	g9	0.023284764644976003
g1	g5	0.0231931025550742
g2	g11	0.0228981319677426
g9	g12	0.0228976622740299
g4	g15	0.0227632308400049
g5	g2	0.0226240997962548
g17	g8	0.022584130378627006
g2	g17	0.0222442257628712
g2	g12	0.0217268776820107
g8	g4	0.0216291564389044
g1	g11	0.0215083796159503
g17	g14	0.0214452488009381
g3	g18	0.0214410156327992
g15	g17	0.0206629710829997
g17	g10	0.0206222819419795
g15	g3	0.0203217070318527
g15	g10	0.0201849986039005
g8	g17	0.0199957296445249
g6	g2	0.0199828960696704
g11	g1	0.0197892392127559
g11	g3	0.0197651619679677
g14	g15	0.0196870768957181
g15	g6	0.0196252841293428
g11	g10	0.0196139603604956
g15	g9	0.0194694335001549
g6	g14	0.019352979820538
g7	g18	0.0190213781245702
g7	g1	0.0185331525692515
g17	g9	0.0184459672144504
g10	g18	0.0184046579175967
g16	g8	0.0183941289237562
g9	g7	0.0183160019027271
g16	g14	0.0181389335391656
g16	g10	0.017793560579272
g13	g18	0.0176287284569601
g1	g17	0.0176184725139076
g2	g16	0.0175684153682811
g12	g8	0.0175505965263657
g16	g9	0.0174505034160273
g6	g17	0.0170904877697278
g2	g15	0.016763825534514
g3	g11	0.0167469176773671
g14	g18	0.0167455792847741
g15	g8	0.0162553238304038
g12	g17	0.0162245877323682
g17	g11	0.0154169422156239
g12	g2	0.0152953599624535
g18	g9	0.0143893763313983
g14	g2	0.0143672211634619
g18	g13	0.0142551319544049
g11	g5	0.0141535387466893
g16	g2	0.0141463555657879
g16	g13	0.0139361973834145
g9	g2	0.0137282430848507
g12	g5	0.0135730606756068
g15	g7	0.013291382096808997
g16	g3	0.0132751961597049
g14	g11	0.0132036099420206
g16	g6	0.0130285075835194
g10	g13	0.0120513802802075
g10	g4	0.0117437395541938
g14	g3	0.0115429594274202
g17	g12	0.0113916298460195
g5	g7	0.0112186880674042
g17	g16	0.0111044907596592
g18	g7	0.0109748398786776
g13	g17	0.0108837237942082
g12	g6	0.0106923157085692
