Gene1	Gene2	EdgeWeight
g8	g7	0.31878989222294457
g6	g5	0.3073741236049846
g10	g9	0.3057332324434859
g13	g12	0.3039057395525325
g5	g4	0.29974597509555395
g12	g11	0.299324591209675
g9	g8	0.2900529910745766
g17	g16	0.28682279306551395
g16	g17	0.2751698927742791
g13	g14	0.2742902919261396
g16	g15	0.2741614765707213
g12	g13	0.2734366055614572
g7	g6	0.2725119457039643
g15	g16	0.27214989527382866
g14	g13	0.2643734422402567
g14	g15	0.2552395125359633
g4	g3	0.25468324533715303
g11	g10	0.2524967238214692
g7	g8	0.2418803704121541
g9	g10	0.2405878613694402
g15	g14	0.2369161868495751
g17	g18	0.2360620835184905
g11	g12	0.2331300275003527
g5	g6	0.2236124536879688
g4	g5	0.2227296174542369
g18	g17	0.2206382568527208
g1	g18	0.20041144602055375
g6	g7	0.19958666041480416
g8	g9	0.1985612770765437
g10	g11	0.1891564901222795
g3	g4	0.17942285211433412
g11	g9	0.15698365397005262
g6	g4	0.15633985038696385
g13	g11	0.15588025794311075
g11	g13	0.14371048831376565
g18	g1	0.13797469758221015
g13	g15	0.13622449569596026
g8	g6	0.1305609624804044
g5	g3	0.13019997391314922
g9	g7	0.1274367200494372
g15	g17	0.12535043907820234
g12	g10	0.12510161149943935
g10	g8	0.12448210099118655
g1	g2	0.12116886538802912
g3	g2	0.1206896052021223
g12	g14	0.12027369193786835
g14	g12	0.11981217016161028
g7	g5	0.11349943716663448
g16	g18	0.11286818635433693
g14	g16	0.11091808652856787
g2	g1	0.10500858592429864
g16	g14	0.10409699566143617
g2	g3	0.10337010665219447
g9	g11	0.0975673844107534
g10	g12	0.09710204298568333
g8	g10	0.09497047432008364
g17	g15	0.09361485484967408
g6	g3	0.09213065695633577
g15	g13	0.09027263811794883
g4	g6	0.08657337401471846
g6	g8	0.08644275156767951
g13	g10	0.08410605612591966
g5	g7	0.0780245796524966
g7	g9	0.07743024055215769
g10	g7	0.07579682846072668
g3	g5	0.07469990186538293
g13	g16	0.07308056548729579
g12	g15	0.07221123434407505
g11	g14	0.07171716223358181
g12	g9	0.07138803406714632
g9	g6	0.0713236626983173
g14	g17	0.07097922275993218
g7	g4	0.07074090489785362
g14	g11	0.06970548441917407
g17	g1	0.06795798702487409
g9	g12	0.06540578095473684
g4	g2	0.06431253135813515
g10	g2	0.06278325586550794
g15	g18	0.06196305654316635
g5	g2	0.0616765713732142
g10	g13	0.06100037576618339
g8	g5	0.059291417355322826
g14	g18	0.05750482501817378
g16	g1	0.05668222232785751
g6	g1	0.05656676670561522
g11	g8	0.055357724478086325
g6	g2	0.05473130660018548
g8	g2	0.05464729872043315
g14	g1	0.05346007290002295
g8	g11	0.052906918286621696
g18	g16	0.05277407220897272
g7	g3	0.052605227613725984
g15	g1	0.05246220906511218
g7	g2	0.05216807500967851
g4	g1	0.05140590875147584
g18	g2	0.05115345298909482
g15	g12	0.0511378462452427
g9	g1	0.05109713974128123
g3	g1	0.05098076087190675
g7	g10	0.04945983068604346
g12	g1	0.04905285481284143
g7	g1	0.048697721415172236
g16	g2	0.047990512327583966
g12	g16	0.047399443218772326
g17	g2	0.04697808821263708
g13	g2	0.04697597597559197
