Gene1	Gene2	EdgeWeight
g14	g17	25
g9	g18	25
g15	g17	24
g7	g18	24
g15	g18	24
g8	g18	24
g14	g18	24
g14	g16	24
g13	g17	24
g18	g17	24
g17	g18	23
g16	g18	23
g18	g16	23
g12	g18	23
g8	g17	23
g10	g18	23
g9	g17	23
g16	g17	23
g12	g17	23
g7	g17	23
g17	g15	23
g13	g18	23
g6	g18	23
g13	g16	23
g17	g16	23
g15	g16	22
g14	g15	22
g16	g15	22
g6	g16	22
g5	g18	22
g11	g17	22
g6	g17	22
g11	g18	21
g13	g15	21
g12	g15	21
g5	g17	21
g10	g17	21
g12	g16	21
g11	g16	20
g5	g16	20
g7	g16	20
g4	g18	19
g9	g16	19
g4	g17	19
g8	g16	18
g11	g15	18
g10	g16	18
g3	g17	18
g7	g15	17
g8	g15	17
g3	g18	17
g1	g18	17
g2	g18	17
g18	g15	17
g5	g15	17
g10	g15	16
g6	g15	16
g2	g17	16
g9	g15	16
g4	g16	16
g1	g17	16
g1	g16	14
g2	g16	13
g17	g14	12
g3	g16	12
g16	g14	12
g1	g15	11
g3	g15	11
g4	g15	11
g15	g14	11
g2	g15	10
g13	g14	10
g12	g14	9
g5	g14	7
g1	g14	7
g12	g13	7
g14	g13	7
g18	g11	6
g6	g14	6
g2	g14	6
g4	g14	6
g18	g10	6
g11	g12	6
g3	g14	6
g18	g14	6
g18	g13	6
g17	g10	5
g16	g13	5
g17	g13	5
g7	g6	5
g17	g11	5
g18	g8	5
g15	g13	5
g18	g9	5
g1	g13	5
g17	g9	5
g18	g12	5
g17	g8	5
g12	g11	5
g17	g12	5
g13	g12	5
g8	g7	4
g8	g9	4
g9	g7	4
g17	g7	4
g11	g10	4
g10	g9	4
g11	g13	4
g9	g10	4
g6	g7	4
g11	g14	4
g17	g6	4
g18	g7	4
g16	g7	4
g10	g11	4
g9	g8	4
g6	g5	4
g8	g6	4
g7	g8	4
g6	g8	3
g16	g9	3
g7	g9	3
g10	g8	3
g16	g8	3
g15	g12	3
g16	g12	3
g10	g12	3
g16	g6	3
g2	g13	3
g11	g9	3
g16	g10	3
g9	g11	3
g8	g10	3
g16	g11	3
g13	g11	3
g12	g10	3
g18	g6	3
g1	g12	3
g3	g13	3
g17	g5	3
g14	g12	3
g8	g11	2
g16	g5	2
g7	g10	2
g18	g5	2
g15	g11	2
g15	g6	2
g5	g6	2
g7	g5	2
g17	g1	1
g10	g13	1
g13	g1	1
g18	g2	1
g18	g1	1
g11	g7	1
g16	g1	1
g15	g1	1
g11	g1	1
g14	g1	1
g12	g1	1
g5	g7	1
g2	g1	1
g13	g10	1
g17	g2	1
g14	g2	1
g1	g2	1
g10	g7	1
g15	g10	1
g12	g9	1
g5	g4	1
g1	g11	1
g15	g3	1
g15	g9	1
g16	g3	1
g18	g3	1
g6	g9	1
g9	g12	1
g17	g3	1
g2	g12	1
g10	g6	1
g7	g11	1
g14	g11	1
g16	g2	1
g15	g2	1
g17	g4	1
g6	g4	1
g9	g6	1
g15	g7	1
g18	g4	1
g15	g5	1
g11	g8	1
g16	g4	1
g8	g5	1
g15	g8	1
g15	g4	1
g7	g4	1
g6	g13	0
g2	g3	0
g5	g3	0
g7	g13	0
g8	g13	0
g9	g13	0
g4	g13	0
g5	g13	0
g13	g6	0
g3	g6	0
g14	g6	0
g12	g6	0
g11	g6	0
g4	g6	0
g1	g6	0
g2	g6	0
g13	g3	0
g6	g3	0
g7	g3	0
g8	g3	0
g14	g3	0
g12	g3	0
g11	g3	0
g4	g3	0
g1	g3	0
g10	g3	0
g9	g3	0
g5	g2	0
g13	g7	0
g2	g10	0
g1	g10	0
g4	g10	0
g14	g10	0
g3	g10	0
g6	g10	0
g5	g1	0
g10	g1	0
g4	g1	0
g9	g1	0
g8	g1	0
g7	g1	0
g3	g1	0
g6	g1	0
g2	g4	0
g10	g4	0
g1	g4	0
g11	g4	0
g5	g10	0
g13	g5	0
g3	g7	0
g3	g5	0
g4	g2	0
g11	g2	0
g12	g2	0
g9	g2	0
g8	g2	0
g7	g2	0
g3	g2	0
g6	g2	0
g13	g2	0
g2	g5	0
g10	g5	0
g1	g5	0
g4	g5	0
g11	g5	0
g12	g5	0
g9	g5	0
g14	g5	0
g12	g4	0
g9	g4	0
g14	g4	0
g8	g4	0
g10	g14	0
g9	g14	0
g8	g14	0
g7	g14	0
g10	g2	0
g5	g8	0
g1	g8	0
g4	g8	0
g12	g8	0
g14	g8	0
g3	g8	0
g13	g8	0
g2	g7	0
g1	g7	0
g4	g7	0
g12	g7	0
g14	g7	0
g13	g9	0
g3	g9	0
g14	g9	0
g5	g12	0
g3	g4	0
g13	g4	0
g2	g11	0
g5	g11	0
g4	g11	0
g3	g11	0
g6	g11	0
g4	g12	0
g4	g9	0
g8	g12	0
g7	g12	0
g3	g12	0
g6	g12	0
g2	g9	0
g5	g9	0
g1	g9	0
g2	g8	0
