,dyn-TF_500_0,dyn-TF_500_1,dyn-TF_500_2,dyn-TF_500_3,dyn-TF_500_4,dyn-TF_500_5,dyn-TF_500_6,dyn-TF_500_7,dyn-TF_500_8,dyn-TF_500_9,dyn-TF_2000_0,dyn-TF_2000_1,dyn-TF_2000_2,dyn-TF_2000_3,dyn-TF_2000_4,dyn-TF_2000_5,dyn-TF_2000_6,dyn-TF_2000_7,dyn-TF_2000_8,dyn-TF_2000_9,dyn-TF_5000_0,dyn-TF_5000_1,dyn-TF_5000_2,dyn-TF_5000_3,dyn-TF_5000_4,dyn-TF_5000_5,dyn-TF_5000_6,dyn-TF_5000_7,dyn-TF_5000_8,dyn-TF_5000_9
GENIE3,0.6003016591251886,0.6199095022624435,0.6003016591251886,0.6259426847662142,0.6304675716440422,0.641025641025641,0.6214177978883861,0.6365007541478129,0.6334841628959276,0.6410256410256411,0.6229260935143288,0.6229260935143288,0.6304675716440422,0.6123680241327301,0.6078431372549019,0.6289592760180996,0.6138763197586726,0.6485671191553544,0.6229260935143288,0.6138763197586726,0.6184012066365008,0.6259426847662142,0.6319758672699849,0.6365007541478129,0.6304675716440422,0.6259426847662143,0.6365007541478129,0.6259426847662143,0.6274509803921569,0.6214177978883861
GRISLI,0.5671191553544495,0.5211161387631976,0.4826546003016591,0.5,0.5475113122171946,0.5791855203619909,0.5,0.5920060331825038,0.41628959276018096,0.5467571644042232,0.41251885369532426,0.48039215686274506,0.5407239819004526,0.45927601809954754,0.5098039215686274,0.5452488687782805,0.524132730015083,0.4622926093514329,0.497737556561086,0.555052790346908,0.45852187028657615,0.4773755656108597,0.475867269984917,0.48944193061840124,0.49547511312217196,0.46606334841628966,0.5015082956259427,0.5392156862745098,0.5128205128205129,0.43514328808446456
GRNBOOST2,0.6636500754147813,0.7149321266968326,0.7088989441930618,0.7149321266968326,0.7420814479638009,0.7254901960784313,0.7088989441930619,0.6998491704374057,0.6998491704374057,0.7254901960784313,0.7360482654600301,0.717948717948718,0.7073906485671191,0.7088989441930619,0.702865761689291,0.7345399698340874,0.6726998491704375,0.7360482654600302,0.7224736048265459,0.6968325791855203,0.698340874811463,0.7194570135746606,0.7073906485671191,0.7058823529411765,0.717948717948718,0.71342383107089,0.7149321266968325,0.7300150829562594,0.7315233785822021,0.7390648567119156
GRNVBEM,0.5920060331825038,0.6214177978883861,0.5663650075414781,0.6048265460030166,0.5731523378582202,0.5791855203619909,0.5942684766214178,0.6500754147812972,0.6116138763197586,0.7375565610859729,0.6168929110105581,0.6161387631975868,0.5972850678733032,0.5935143288084465,0.6244343891402715,0.6440422322775263,0.5037707390648567,0.5769230769230769,0.5995475113122172,0.6425339366515836,0.5625942684766214,0.6055806938159879,0.6093514328808446,0.6447963800904977,0.6085972850678733,0.4781297134238311,0.5723981900452488,0.5980392156862745,0.5935143288084465,0.6349924585218703
LEAP,0.7134238310708899,0.698340874811463,0.7285067873303168,0.7073906485671191,0.7209653092006033,0.7383107088989442,0.7435897435897436,0.7058823529411764,0.7194570135746606,0.7254901960784313,0.7337858220211161,0.744343891402715,0.7647058823529412,0.7601809954751131,0.7345399698340874,0.7526395173453997,0.7458521870286576,0.7435897435897436,0.7330316742081447,0.729260935143288,0.7420814479638009,0.7315233785822022,0.7345399698340875,0.7390648567119156,0.7541478129713424,0.7405731523378581,0.7285067873303167,0.7254901960784313,0.722473604826546,0.7375565610859729
PIDC,0.6523378582202111,0.6794871794871795,0.667420814479638,0.8001508295625942,0.7277526395173454,0.6432880844645551,0.6855203619909502,0.6432880844645551,0.6734539969834088,0.6613876319758673,0.6372549019607843,0.6734539969834087,0.7096530920060332,0.6885369532428356,0.6523378582202112,0.6463046757164403,0.6674208144796381,0.6704374057315234,0.6734539969834088,0.667420814479638,0.667420814479638,0.7006033182503771,0.7036199095022625,0.6644042232277526,0.6945701357466063,0.691553544494721,0.7036199095022624,0.6794871794871795,0.6764705882352942,0.6734539969834088
PPCOR,0.6312217194570136,0.6523378582202111,0.5980392156862746,0.6146304675716441,0.6161387631975866,0.6372549019607843,0.5588235294117647,0.643288084464555,0.6176470588235294,0.5844645550527904,0.6304675716440422,0.6229260935143288,0.6349924585218703,0.6251885369532428,0.5852187028657616,0.6553544494720964,0.5927601809954752,0.6282051282051282,0.6304675716440422,0.5972850678733032,0.6146304675716442,0.6070889894419306,0.6282051282051283,0.5957767722473605,0.6040723981900452,0.6251885369532428,0.6229260935143288,0.6063348416289592,0.6093514328808446,0.6191553544494721
SCINGE,0.7420814479638009,0.641025641025641,0.5656108597285068,0.5603318250377074,0.6184012066365008,0.629713423831071,0.6787330316742082,0.7375565610859729,0.6395173453996984,0.6417797888386123,0.7549019607843137,0.7533936651583711,0.7126696832579185,0.6266968325791855,0.735294117647059,0.6772247360482655,0.7549019607843137,0.5,0.6523378582202112,0.7013574660633484,0.6282051282051282,0.4819004524886878,0.616892911010558,0.583710407239819,0.5987933634992458,0.5987933634992458,0.6689291101055808,0.548265460030166,0.6093514328808447,0.5535444947209653
SCNS,0.5595776772247361,0.4849170437405731,0.504524886877828,0.55052790346908,0.555052790346908,0.5641025641025642,0.5769230769230769,0.6033182503770739,0.5105580693815988,0.502262443438914,0.5829562594268477,0.5331825037707391,0.4615384615384615,0.5226244343891402,0.5535444947209652,0.4909502262443439,0.5105580693815988,0.47812971342383115,0.5128205128205128,0.5920060331825038,0.521870286576169,0.4298642533936652,0.43137254901960786,0.4555052790346908,0.4419306184012066,0.5030165912518854,0.5082956259426847,0.4826546003016592,0.48793363499245845,0.4532428355957768
SCODE,0.28657616892911014,0.3227752639517345,0.3755656108597285,0.28808446455505277,0.37858220211161386,0.35444947209653094,0.31070889894419307,0.2971342383107089,0.3227752639517345,0.3046757164404223,0.3137254901960784,0.3695324283559578,0.36199095022624433,0.35746606334841635,0.4434389140271493,0.37104072398190047,0.3740573152337858,0.3650075414781297,0.3770739064856712,0.3906485671191554,0.3529411764705882,0.3544494720965309,0.3740573152337858,0.3499245852187029,0.3242835595776772,0.3981900452488688,0.3861236802413273,0.330316742081448,0.39064856711915535,0.34841628959276016
