,Spearman Median,Spearman MAD
GENIE3,0.9835953520164047,0.007162824005930583
GRISLI,0.6143861270202244,0.1299706976503837
GRNBOOST2,0.9419002050580998,0.024743276416096964
GRNVBEM,0.6770751267781123,0.08649367040160134
LEAP,0.9548958281317447,0.022119380676450615
PIDC,0.9222769567597153,0.04193002555652382
PPCOR,0.9261853856131159,0.03541321361312648
SCINGE,0.3149089704819279,0.12353106742209305
SCNS,0.32948002367292284,0.16980870042211868
SCODE,0.7805878332194122,0.08563347618857994
SCRIBE,0.3804511278195489,0.12488590192376416
SINCERITIES,0.4694677381186497,0.21806639696020913
