Gene1	Gene2	EdgeWeight
g8	g4	439.1703263450067
g7	g6	419.3559711104051
g2	g1	381.1929142448462
g6	g7	325.15904002829154
g4	g8	257.9544447447002
g1	g2	223.54829073586862
g7	g5	217.25972098027194
g8	g5	209.1327818456649
g4	g5	208.71239783105992
g2	g3	198.28826399888095
g6	g5	190.03394299572116
g1	g5	170.39039983975653
g7	g1	152.48129426633014
g3	g2	136.6125086744259
g8	g1	119.3892290290991
g4	g3	117.323878220795
g7	g4	114.98191778714043
g6	g4	105.43200910540344
g5	g6	105.1951672959754
g1	g7	103.2647224063626
g5	g8	103.08632332197024
g4	g6	97.48933952444227
g5	g1	97.2341479495715
g5	g4	91.67434228495384
g4	g1	85.9974605852701
g5	g7	85.78795464005644
g1	g3	84.80136055522195
g1	g4	83.10174217194222
g5	g3	82.34858512983516
g2	g5	81.65879314234049
g8	g6	80.4728303107862
g6	g1	80.24489238336996
g6	g8	77.16971142902082
g1	g8	75.49198388515394
g4	g7	68.90120141054693
g1	g6	66.97436057561514
g7	g8	64.42419117341299
g3	g1	60.460061541512836
g2	g8	60.29260456657732
g3	g5	56.81196336518502
g7	g2	53.37019316344318
g6	g3	51.802966103147604
g8	g2	50.5247954818332
g3	g4	49.48408453722333
g5	g2	46.91400407341506
g6	g2	44.57269040019758
g2	g4	42.15557776832999
g2	g6	41.69313690922783
g2	g7	38.752055698950855
g4	g2	38.45751747081646
g8	g7	34.880612283225176
g3	g6	33.819194273548156
g8	g3	32.61364805036225
g7	g3	19.821297941756995
g3	g8	14.580740879164514
g3	g7	12.25441353256644
