Gene1	Gene2	EdgeWeight
g3	g3	1.0
g7	g6	1.0
g1	g2	1.0
g5	g5	1.0
g8	g8	1.0
g1	g8	1.0
g7	g8	1.0
g6	g8	1.0
g5	g1	1.0
g1	g1	1.0
g7	g7	1.0
g5	g4	1.0
g5	g6	1.0
g8	g6	1.0
g6	g6	1.0
g3	g2	1.0
g3	g3	1.0
g2	g2	1.0
g1	g2	1.0
g5	g5	1.0
g8	g5	1.0
g5	g8	1.0
g8	g8	1.0
g1	g8	1.0
g1	g1	1.0
g7	g7	1.0
g3	g4	1.0
g3	g6	1.0
g2	g2	1.0
g2	g1	1.0
g8	g8	1.0
g7	g7	1.0
g3	g2	1.0
g2	g2	1.0
g8	g2	1.0
g5	g5	1.0
g2	g8	1.0
g1	g8	1.0
g1	g1	1.0
g6	g6	1.0
g6	g6	1.0
g3	g3	1.0
g4	g4	1.0
g8	g1	0.999999
g8	g7	0.9999950000000001
g3	g5	0.999994
g7	g4	0.999991
g1	g7	0.9999899999999999
g6	g4	0.9999889999999999
g2	g3	0.999461
g5	g3	0.998758
g1	g6	0.9954719999999999
g6	g5	0.9923690000000001
g7	g5	0.986833
g7	g3	0.97662
g6	g7	0.9525469999999999
g4	g1	0.9371209999999999
g2	g5	0.9267860000000001
g4	g5	0.9214
g7	g1	0.893942
g5	g7	0.8653219999999999
g2	g4	0.8638979999999999
g6	g3	0.81176
g7	g2	0.545948
g1	g5	0.5139859999999999
g2	g7	0.47753100000000004
g8	g4	0.47698500000000005
g4	g3	0.45642200000000005
g8	g3	0.388773
g4	g6	0.284168
g1	g4	0.27663499999999996
g6	g1	0.212919
g2	g6	0.211606
g4	g8	0.208118
g5	g2	0.202427
g4	g7	0.177531
g3	g7	0.155789
g6	g2	0.147085
g3	g1	0.126118
g1	g3	0.077137
g4	g2	0.074338
g3	g8	0.071552
