Gene1	Gene2	EdgeWeight
g5	g5	63
g6	g2	62
g1	g4	61
g1	g2	60
g8	g3	59
g3	g5	58
g7	g3	57
g1	g1	56
g4	g2	55
g2	g3	54
g8	g7	53
g5	g1	52
g2	g7	51
g3	g2	50
g6	g1	49
g7	g7	48
g6	g3	47
g4	g5	46
g4	g1	45
g3	g1	44
g8	g8	43
g6	g8	42
g5	g3	41
g7	g8	40
g7	g2	39
g2	g6	38
g3	g3	37
g8	g1	36
g2	g1	35
g7	g1	34
g1	g3	33
g4	g6	32
g4	g7	31
g8	g2	30
g2	g8	29
g5	g4	28
g3	g6	27
g5	g2	26
g7	g4	25
g2	g4	24
g6	g6	23
g5	g8	22
g8	g4	21
g3	g4	20
g1	g8	19
g4	g4	18
g1	g7	17
g6	g5	16
g4	g3	15
g5	g7	14
g3	g8	13
g6	g7	12
g5	g6	11
g2	g5	10
g6	g4	9
g4	g8	8
g2	g2	7
g1	g5	6
g8	g5	5
g7	g5	4
g1	g6	3
g8	g6	2
g7	g6	1
g3	g7	0
