Gene1	Gene2	EdgeWeight
g2	g1	31.960656171368605
g1	g1	23.686799346791602
g7	g1	23.265819873039604
g8	g7	21.6366894054646
g2	g7	21.430747254053
g2	g8	21.3623023776722
g3	g1	18.3830984163603
g1	g8	17.3478798012026
g1	g7	16.901079610604
g7	g8	16.727464874447698
g6	g1	14.8904966153282
g8	g6	14.7046832468005
g8	g1	14.259055491967098
g2	g6	13.8474390855353
g4	g7	13.7213081282917
g7	g7	12.729378271722
g5	g7	11.689554548987598
g1	g6	11.607971699336801
g6	g8	11.5897577233555
g8	g2	10.6293607561929
g2	g2	10.2748175997895
g8	g8	10.048553492166999
g3	g8	9.65364135013489
g4	g6	9.49717969972027
g6	g7	8.59025514370857
g4	g1	8.43237257295973
g1	g2	8.395045266271799
g3	g7	8.377176037005821
g5	g6	8.12496565670385
g7	g2	7.8545870837955905
g4	g2	7.64019925496853
g2	g5	6.73756438894665
g5	g1	6.6650905635972695
g5	g2	6.65398020348485
g2	g3	6.15728732128873
g3	g5	6.01688859594023
g6	g2	5.7193892386779
g1	g3	5.42079918593977
g3	g4	4.757938682940651
g2	g4	4.67559866244292
g5	g3	4.5851583230766115
g8	g3	4.2628356635894304
g7	g5	4.179078652873081
g7	g6	4.09401538074139
g1	g5	4.06589446644458
g3	g6	4.03715992238144
g4	g8	4.0326351665578
g5	g8	3.591584752369569
g3	g2	3.56102186172708
g3	g3	3.4365695211943104
g8	g5	3.42017999454834
g4	g3	3.30981800191163
g6	g6	3.03016576658014
g7	g4	2.72153898554854
g1	g4	2.56384954565091
g5	g5	2.3017349263095896
g4	g5	2.18844142909143
g6	g5	1.96535144992188
g5	g4	1.82147462186944
g4	g4	1.7506724324988705
g7	g3	1.2820456799443
g8	g4	1.26579526556146
g6	g4	1.07940137623461
g6	g3	0.636072750534917
