Gene1	Gene2	EdgeWeight
g3	g3	1.0
g2	g2	1.0
g5	g5	1.0
g8	g8	1.0
g1	g1	1.0
g7	g7	1.0
g4	g4	1.0
g6	g6	1.0
g7	g6	0.6331731400069399
g6	g7	0.6331731400069399
g1	g2	0.611368652226828
g2	g1	0.611368652226828
g4	g8	-0.5374150831886529
g8	g4	-0.5374150831886529
g2	g3	0.431384963213154
g3	g2	0.431384963213154
g3	g5	0.315563737487279
g5	g3	0.315563737487279
g4	g3	0.28857306331847304
g3	g4	0.28857306331847304
g5	g8	0.247122764920209
g8	g5	0.247122764920209
g8	g6	0.23566705599313603
g6	g8	0.23566705599313603
g4	g7	-0.231297379725714
g7	g4	-0.231297379725714
g7	g1	-0.20253157467094396
g1	g7	-0.20253157467094396
g4	g6	0.19105985704842898
g6	g4	0.19105985704842898
g7	g5	-0.17910091977513298
g5	g7	-0.17910091977513298
g5	g1	-0.14915588427533402
g1	g5	-0.14915588427533402
g4	g1	-0.129699271473237
g1	g4	-0.129699271473237
g7	g3	0.0954556193347027
g3	g7	0.0954556193347027
g3	g6	0.0950715759778562
g6	g3	0.0950715759778562
g1	g6	0.0915250431967648
g6	g1	0.0915250431967648
g2	g8	0.0838890061984397
g8	g2	0.0838890061984396
g1	g8	0.0721408007181776
g8	g1	0.0721408007181775
g8	g7	-0.0712568651243318
g7	g8	-0.0712568651243318
g2	g5	-0.0698869735448853
g5	g2	-0.0698869735448853
g2	g7	-0.062328775882897
g7	g2	-0.0623287758828969
g5	g4	0.0481709044584449
g4	g5	0.0481709044584449
g4	g2	0.0406384516981125
g2	g4	0.0406384516981124
g3	g1	0.0402223814130566
g1	g3	0.0402223814130565
g8	g3	0
g3	g8	0
g6	g5	0
g5	g6	0
g2	g6	0
g6	g2	0
