Gene1	Gene2	EdgeWeight
g2	g1	1.9406106819635185
g1	g2	1.9406106819635185
g7	g6	1.93736429960733
g6	g7	1.93736429960733
g8	g4	1.9072987303694575
g4	g8	1.9072987303694575
g3	g2	1.7819756542120613
g2	g3	1.7819756542120613
g5	g4	1.624574917289924
g4	g5	1.624574917289924
g3	g5	1.4414425985014896
g5	g3	1.4414425985014896
g1	g7	1.3297076393547078
g7	g1	1.3297076393547078
g8	g6	1.2848326462899298
g6	g8	1.2848326462899298
g3	g4	1.2845080092672274
g4	g3	1.2845080092672274
g5	g7	1.181416374811424
g7	g5	1.181416374811424
g5	g8	1.1800167103417385
g8	g5	1.1800167103417385
g7	g4	1.138118576781314
g4	g7	1.138118576781314
g3	g1	1.0043817774355313
g1	g3	1.0043817774355313
g8	g1	0.9778447066138228
g1	g8	0.9778447066138228
g5	g1	0.8771377236116369
g1	g5	0.8771377236116369
g5	g6	0.8481853080706208
g6	g5	0.8481853080706208
g2	g7	0.8470331972900792
g7	g2	0.8470331972900792
g2	g6	0.8439193059904337
g6	g2	0.8439193059904337
g1	g6	0.8068606057263848
g6	g1	0.8068606057263848
g2	g8	0.7466416412997499
g8	g2	0.7466416412997499
g1	g4	0.6906396561323651
g4	g1	0.6906396561323651
g4	g6	0.6508029971119302
g6	g4	0.6508029971119302
g8	g7	0.6325135870354632
g7	g8	0.6325135870354632
g3	g6	0.406864727530091
g6	g3	0.406864727530091
g2	g4	0.1750297860926056
g4	g2	0.1750297860926056
g3	g7	0.1539412560257286
g7	g3	0.1539412560257286
g2	g5	0.10338390377136322
g5	g2	0.10338390377136322
g3	g8	0.09027917359941336
g8	g3	0.09027917359941336
