Gene1	Gene2	EdgeWeight
g8	g4	1.0818029588009301
g8	g6	1.0412733516222399
g7	g6	1.0
g8	g5	1.0
g7	g5	0.937463372652846
g7	g4	0.86201893910332
g7	g1	0.779605933761431
g7	g8	0.7172917079070021
g4	g1	0.4288532817682639
g5	g1	0.426968605621012
g7	g3	0.409232476547865
g8	g3	0.40580259286173903
g8	g2	0.404044997936767
g7	g2	0.39409936041488797
g6	g1	0.38386901608448404
g5	g8	0.37994073879920504
g1	g2	0.37805879712572205
g6	g8	0.36067516231224894
g7	g7	0.357577691149614
g2	g6	0.329285541774688
g4	g8	0.32092153737602097
g2	g3	0.31400187773065896
g6	g7	0.302466321252774
g2	g4	0.29613812349767404
g3	g5	0.294341708932315
g3	g6	0.294337984474027
g8	g7	0.292721698793762
g5	g7	0.28317108333168106
g4	g7	0.275111206555377
g5	g6	0.266093140536347
g6	g6	0.256067898941908
g5	g2	0.252330633192709
g3	g4	0.243256107666776
g6	g2	0.23393193955119698
g5	g5	0.23282084852363502
g6	g5	0.228944474587758
g1	g4	0.208351684405073
g4	g5	0.205876252294739
g6	g4	0.204482432221534
g4	g6	0.20135455126026103
g1	g8	0.18715513879270199
g1	g6	0.18404429889385
g2	g5	0.170097700166139
g1	g1	0.165746198994414
g1	g3	0.163742047417923
g4	g2	0.157161653162771
g2	g2	0.155781601118432
g8	g8	0.139256497471344
g2	g7	0.115017044302167
g1	g7	0.0908217326566508
g8	g1	0.0898617225250305
g3	g3	0.0801538438677343
g3	g7	0.0700073856215548
g3	g1	0.0502374966658919
g4	g4	0.0492592455267714
g1	g5	0.045876891958352
g5	g4	0.0452430076734007
g6	g3	0.0198009101288364
g3	g8	0.000683448828305763
g5	g3	0.0
g3	g2	0.0
g2	g8	0.0
g4	g3	0.0
g3	g2	0.0
g2	g1	0.0
g2	g8	0.0
g4	g3	0.0
g5	g3	0.0
g2	g1	0.0
g2	g8	0.0
g3	g2	0.0
g4	g3	0.0
g5	g3	0.0
g2	g1	0.0
