Gene1	Gene2	EdgeWeight
g6	g7	0.4929586573898811
g7	g6	0.4842085047021383
g8	g4	0.4825577568482272
g4	g8	0.4561185608867382
g2	g1	0.4388606863992753
g1	g2	0.42069596486099
g2	g3	0.2981806694214256
g3	g2	0.2276590286471995
g1	g5	0.18257997762785025
g4	g5	0.17893204399173016
g4	g3	0.17406851672860035
g8	g5	0.16827313302513333
g7	g5	0.154451219106354
g1	g3	0.15147072979886253
g6	g5	0.1447398247817521
g5	g3	0.14360280871558262
g5	g8	0.14294325068795413
g5	g4	0.14050089056362805
g5	g7	0.13648869662267502
g1	g8	0.12572502981513173
g5	g6	0.12284158385387772
g8	g1	0.12247962799483485
g1	g7	0.1213201851742909
g7	g1	0.1211401328737417
g2	g5	0.1144720452352748
g6	g3	0.11013130231369436
g4	g6	0.10948193985356254
g6	g8	0.10938777368688747
g4	g7	0.10807150085473953
g1	g4	0.09921967222459237
g5	g1	0.09613227538193707
g6	g4	0.0923071945580238
g1	g6	0.08877033767932248
g8	g6	0.08596965507210813
g7	g4	0.08402195751215326
g8	g2	0.08179710488290119
g3	g1	0.07644555314355703
g6	g1	0.07361489606431143
g7	g8	0.07214326094274473
g4	g1	0.07132682814234304
g7	g2	0.07072829974546763
g5	g2	0.06987966238291572
g8	g3	0.06788749640187164
g6	g2	0.06611043336730353
g4	g2	0.06312950611322232
g8	g7	0.06183088742481399
g2	g8	0.06120572755620012
g3	g5	0.05655175623190506
g2	g6	0.0561250828809126
g2	g7	0.056034476773814894
g7	g3	0.05465847661996294
g3	g6	0.05260289595807872
g3	g4	0.05169696511996764
g2	g4	0.049695563173407335
g3	g8	0.03247639642434372
g3	g7	0.02329559575978406
