Gene1	Gene2	EdgeWeight
g4	g5	0.9321274145283559
g5	g4	0.9321274145283559
g1	g7	0.927505520629338
g7	g1	0.927505520629338
g5	g6	0.91902448150959
g6	g5	0.91902448150959
g1	g8	0.9180096827042159
g8	g1	0.9180096827042159
g4	g6	0.8581643594838421
g6	g4	0.8581643594838421
g1	g2	0.8394741743202551
g4	g2	0.8347928314978922
g4	g8	0.8259773689979241
g4	g1	0.8253397186859409
g1	g5	0.823780081312688
g5	g1	0.823780081312688
g1	g3	0.8051151442163771
g7	g2	0.797507888026703
g6	g1	0.7953729209089709
g8	g3	0.788450479363348
g5	g2	0.787891279566102
g7	g3	0.778122440894746
g8	g2	0.767566843614721
g5	g3	0.765033802147197
g6	g7	0.741281299934261
g4	g3	0.7391390783067041
g2	g8	0.737067553889122
g2	g3	0.7362800540203759
g2	g1	0.732472876750272
g6	g2	0.723175714255578
g6	g3	0.694228352435506
g7	g6	0.672801673111229
g1	g6	0.6696658411116351
g1	g4	0.654840809288794
g2	g7	0.6206721617027819
g3	g8	0.605970247265269
g3	g1	0.596966782932242
g8	g4	0.575151195295495
g2	g5	0.567428813983169
g2	g6	0.555984055814517
g7	g5	0.5418503840795029
g7	g4	0.541819191596673
g3	g6	0.540923118502115
g8	g5	0.533840527307613
g8	g6	0.532413492809803
g3	g5	0.522559613300248
g3	g4	0.50790884409503
g3	g2	0.505171192044326
g5	g7	0.4999997571782371
g2	g4	0.49828778974262394
g6	g8	0.49616675729243204
g5	g8	0.450420925814235
g8	g7	0.44361136736614204
g7	g8	0.44361136736614204
g3	g7	0.4245189069213379
g4	g7	0.40431986474739595
