Gene1	Gene2	EdgeWeight
g7	g8	0.0851878089176417
g1	g6	0.0850152462974953
g2	g1	0.0844465829908714
g2	g3	0.0747769278850141
g3	g8	0.0703670441211779
g1	g8	0.0675383456442314
g3	g1	0.0674948439293145
g6	g4	0.0670272989748836
g6	g1	0.0650486333598576
g6	g8	0.0645806804950788
g1	g2	0.0644500810679655
g3	g2	0.0634724777779561
g8	g5	0.06287792355607
g8	g1	0.061622896376424006
g6	g5	0.0614424262336581
g1	g4	0.0594948875135134
g4	g3	0.0589648991459953
g4	g1	0.0566051735775323
g8	g2	0.0551334835797612
g4	g2	0.0541425937209478
g3	g4	0.0537868679849078
g3	g6	0.0531058698863589
g6	g2	0.0525453497299386
g5	g2	0.0522244658438238
g4	g6	0.0519859314954997
g1	g3	0.05056285190880099
g1	g5	0.0500274822820563
g3	g7	0.0459697691004957
g7	g3	0.043627750206498
g5	g1	0.0434881982860531
g2	g4	0.0430891899510959
g8	g3	0.0429923569215565
g4	g7	0.0399615280266435
g5	g7	0.0379283652987967
g4	g8	0.0378330704296942
g2	g8	0.0371970547997187
g5	g6	0.0358532240655556
g2	g6	0.0353704197686858
g2	g5	0.0311299933857922
g5	g8	0.0301291452375301
g8	g7	0.029125695130976
g5	g3	0.0270937188414219
g3	g5	0.0264521341944616
g7	g4	0.0263679006288759
g1	g7	0.0252834208660167
g2	g7	0.0246918545564689
g7	g1	0.0239116269353764
g5	g4	0.0230945731284513
g8	g6	0.0202963454278477
g8	g4	0.018994681493921
g6	g7	0.0173349251127087
g7	g6	0.0143543106963567
g7	g2	0.0133563699880036
g4	g5	0.0107122009997464
g6	g3	0.0102821148387261
g7	g5	0.00825158165842753
