Gene1	Gene2	EdgeWeight
g1	g1	63
g7	g1	63
g3	g4	63
g1	g2	62
g5	g2	62
g7	g4	61
g8	g3	61
g7	g7	61
g3	g6	60
g6	g2	60
g3	g5	60
g2	g2	59
g2	g1	58
g8	g7	58
g3	g2	58
g2	g3	57
g1	g7	56
g5	g3	56
g5	g4	55
g7	g3	55
g5	g6	54
g4	g1	53
g4	g6	53
g8	g1	52
g4	g4	51
g4	g2	51
g2	g4	50
g5	g5	50
g2	g7	50
g3	g1	49
g6	g1	49
g4	g3	48
g6	g3	47
g2	g6	46
g6	g7	46
g1	g3	45
g8	g4	44
g5	g1	44
g6	g8	42
g2	g8	40
g3	g8	40
g1	g5	39
g8	g2	39
g1	g4	38
g5	g8	37
g5	g7	37
g6	g6	36
g6	g4	35
g4	g5	35
g7	g2	34
g3	g3	34
g7	g6	32
g4	g7	31
g8	g5	30
g6	g5	26
g8	g8	24
g7	g5	23
g4	g8	22
g7	g8	22
g1	g8	13
g8	g6	13
g2	g5	11
g1	g6	6
g3	g7	0
