Gene1	Gene2	EdgeWeight
Eklf	Cebpa	0.332400660794835
Cebpa	Fli1	0.33085089270870965
Cebpa	Gata1	0.31464947532886345
Eklf	Fog1	0.3128120085993822
Cebpa	Eklf	0.2915430410276485
Fog1	Eklf	0.2847985173036749
Eklf	Pu1	0.2730109081922092
Cebpa	Fog1	0.24191139695696745
Cebpa	Scl	0.23969358107945934
Cebpa	Pu1	0.23933989592973015
Gata1	Scl	0.2311389491862145
Fog1	Cebpa	0.23080596748518764
Eklf	Gata1	0.22274649445307676
Fog1	Pu1	0.21113772545159745
Eklf	Fli1	0.18254614091777707
Pu1	Fog1	0.172513670653099
Eklf	Scl	0.1653870116893208
cJun	EgrNab	0.1594001491097332
EgrNab	Gfi1	0.15913661511692656
Pu1	Eklf	0.15423197158056434
Gata1	Fli1	0.14294320541990127
cJun	Gfi1	0.13732568086357674
Scl	EgrNab	0.13659315066585812
Pu1	Cebpa	0.13085093025685055
Cebpa	Gata2	0.12671588572344286
Gata1	Cebpa	0.12588485822280782
Gata1	Eklf	0.1257120797534122
Fli1	Gata1	0.12552557121301053
Scl	cJun	0.12217803651448972
EgrNab	cJun	0.11809134055269607
Scl	Gata2	0.11545156326292165
Fli1	Cebpa	0.11326278339609418
Gata1	Fog1	0.11290936354716816
Fog1	Gata1	0.1106182218218307
Gfi1	cJun	0.10904541592280792
Fog1	Gata2	0.10376996986381784
Fog1	Fli1	0.10372720056478008
Pu1	cJun	0.1035449330863576
Gata1	Gata2	0.1031994028074965
Gfi1	EgrNab	0.10208506598784392
Gata1	EgrNab	0.09998471949100514
cJun	Gata2	0.09971453943020203
Pu1	Fli1	0.09909075427288046
Fli1	cJun	0.0985285572199642
Gata1	Gfi1	0.0973032187998176
Fli1	EgrNab	0.0969719616436608
Gata1	cJun	0.09661904098028394
Fog1	Scl	0.09542171661897604
Gata1	Pu1	0.09504190980682277
Fog1	cJun	0.09474038312881057
Gfi1	Gata2	0.0935438130212693
Scl	Gfi1	0.0933802123484578
EgrNab	Gata2	0.09327547748162647
Eklf	Gata2	0.09160286953967932
Fli1	Gata2	0.09148505534144366
Fog1	Gfi1	0.09120511180750276
Fli1	Gfi1	0.09112342044715972
Gata2	cJun	0.0878027445463359
Cebpa	cJun	0.08759325522737017
Eklf	Gfi1	0.08671958005249193
Eklf	EgrNab	0.08528260505660036
Cebpa	Gfi1	0.08515081895217608
Cebpa	EgrNab	0.08469665995570927
Fli1	Pu1	0.0834363994873534
Eklf	cJun	0.08185629282088425
Scl	Gata1	0.08155690346470792
Pu1	Gata2	0.08124142352810054
Pu1	Gfi1	0.08114804146907585
Pu1	Gata1	0.08049592281914163
Fog1	EgrNab	0.07905168059392323
Pu1	EgrNab	0.07823432985426586
Gata2	EgrNab	0.07769967764140086
Gata2	Gfi1	0.07750730014281486
Fli1	Fog1	0.0774240871624251
Fli1	Eklf	0.07735144823953333
Fli1	Scl	0.0705576377658853
Pu1	Scl	0.06419347623908324
Scl	Fli1	0.04883346795702583
EgrNab	Scl	0.04433188893950953
cJun	Scl	0.04110133723065292
Scl	Pu1	0.04007640281712466
Scl	Fog1	0.039320518355099386
Scl	Eklf	0.03833015635490017
Scl	Cebpa	0.037608114771800365
EgrNab	Fli1	0.03332647332360466
EgrNab	Gata1	0.02445913589644261
cJun	Fli1	0.02435263925752916
Gfi1	Scl	0.024191446054788915
Gata2	Scl	0.0239829551961087
EgrNab	Pu1	0.019372253857935968
EgrNab	Fog1	0.018107216894466156
EgrNab	Cebpa	0.018089124949037826
Gfi1	Fli1	0.017962599651949445
Gata2	Fli1	0.016366625925842402
cJun	Gata1	0.015168566662836728
EgrNab	Eklf	0.014627477431501815
cJun	Pu1	0.013872962493302195
Gata2	Gata1	0.012752549352240988
Gata2	Pu1	0.012392806748177162
Gfi1	Pu1	0.01231873521574751
Gfi1	Gata1	0.012027158987849076
cJun	Fog1	0.010615893995093304
Gata2	Fog1	0.00822849714417123
Gfi1	Fog1	0.0061573466921282394
cJun	Eklf	0.005574574419481352
cJun	Cebpa	0.004658439512268578
Gata2	Eklf	0.0039162216559009136
Gfi1	Eklf	0.003914512233382538
Gata2	Cebpa	0.003753040138089333
Gfi1	Cebpa	0.0026860804730282173
